date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:52	88819/88819	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:30:51%20GMT	https://www.youtube.com/embed/mrv2AOJLxJ4	C:/My%20Web%20Sites/jktweb/www.youtube.com/embed/mrv2AOJLxJ4.html	(from https://jkt48.com/)
11:30:52	88855/88855	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:30:52%20GMT	https://www.youtube.com/embed/42vbgzXoVEY	C:/My%20Web%20Sites/jktweb/www.youtube.com/embed/42vbgzXoVEY.html	(from https://jkt48.com/)
11:30:53	17238/17238	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:30:53%20GMT	https://jkt48.com/news/detail/id/1730?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/news/detail/id/17309bb4.html	(from https://jkt48.com/)
11:30:53	4571/4571	---M--	200	added ('OK')	image/jpeg	date:Tue,%2013%20Feb%202024%2004:30:54%20GMT	https://jkt48.com/thumbnail.php?w=270&h=270&wh=1&u=https://jkt48.com/new3/img/jkt48logo.jpg	C:/My%20Web%20Sites/jktweb/jkt48.com/thumbnail9eaa.jpg	(from https://jkt48.com/)
11:30:54	21645/21645	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:30:54%20GMT	https://jkt48.com/news/detail/id/1713?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/news/detail/id/17139bb4.html	(from https://jkt48.com/)
11:30:54	8469/8469	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2013%20Feb%202024%2004:30:54%20GMT	https://jkt48.com/thumbnail.php?w=270&h=270&wh=1&u=https://jkt48.com/upload/news/652fefb92b4f5.jpg	C:/My%20Web%20Sites/jktweb/jkt48.com/thumbnailc3d0.jpg	(from https://jkt48.com/)
11:30:54	22460/22460	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:30:54%20GMT	https://jkt48.com/news/detail/id/1684?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/news/detail/id/16849bb4.html	(from https://jkt48.com/)
11:30:54	20109/20109	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2013%20Feb%202024%2004:30:55%20GMT	https://jkt48.com/thumbnail.php?w=270&h=270&wh=1&u=https://jkt48.com/upload/news/649d3cb94f4d5.jpg	C:/My%20Web%20Sites/jktweb/jkt48.com/thumbnail77e4.jpg	(from https://jkt48.com/)
11:30:55	17418/17418	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:30:55%20GMT	https://jkt48.com/news/detail/id/1629?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/news/detail/id/16299bb4.html	(from https://jkt48.com/)
11:30:55	179648/179648	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:30:55%20GMT	https://jkt48.com/theater/mvp?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/theater/mvp9bb4.html	(from https://jkt48.com/)
11:30:55	42717/42717	---M--	200	added ('OK')	image/png	etag:%22704ee-a6dd-5cb58793aa3c0%22	https://jkt48.com/images/home/banner.footer.mvp.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/banner.footer.mvp.png	(from https://jkt48.com/)
11:30:55	17215/17215	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:30:56%20GMT	https://jkt48.com/about/fanletter?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/about/fanletter9bb4.html	(from https://jkt48.com/)
11:30:55	15328/15328	---M--	200	added ('OK')	image/jpeg	etag:%22704ec-3be0-5cb58793aa3c0%22	https://jkt48.com/images/home/banner.footer.fanletter.jpg	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/banner.footer.fanletter.jpg	(from https://jkt48.com/)
11:30:56	23392/23392	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:30:56%20GMT	https://jkt48.com/about/handshake?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/about/handshake9bb4.html	(from https://jkt48.com/)
11:31:09	42814/42814	---M--	200	added ('OK')	image/png	etag:%22704ed-a73e-5cb58793aa3c0%22	https://jkt48.com/images/home/banner.footer.handshake.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/banner.footer.handshake.png	(from https://jkt48.com/)
11:31:11	8029/8029	---M--	200	added ('OK')	image/png	etag:%22704e9-1f5d-5cb58793aa3c0%22	https://jkt48.com/images/home/akb48.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/akb48.png	(from https://jkt48.com/)
11:31:11	3407711/3407711	---M--	200	added ('OK')	application/pdf	etag:%2233ff5f-60535c021fb6e%22	https://www.jtrustbank.co.id/files/promotions/1694578275-3407711.pdf	C:/My%20Web%20Sites/jktweb/www.jtrustbank.co.id/files/promotions/1694578275-3407711.1d.delayed	(from https://jkt48.com/)
11:31:13	8334/8334	---M--	200	added ('OK')	image/png	etag:%22704f7-208e-5cb58793aa3c0%22	https://jkt48.com/images/home/ske48.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/ske48.png	(from https://jkt48.com/)
11:31:15	14182/14182	---M--	200	added ('OK')	image/png	etag:%22704f5-3766-5cb58793aa3c0%22	https://jkt48.com/images/home/nmb48.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/nmb48.png	(from https://jkt48.com/)
11:31:15	4648/4648	---M--	200	added ('OK')	image/png	etag:%22704f1-1228-5cb58793aa3c0%22	https://jkt48.com/images/home/hkt48.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/hkt48.png	(from https://jkt48.com/)
11:31:19	13798/13798	---M--	200	added ('OK')	image/png	etag:%22704f4-35e6-5cb58793aa3c0%22	https://jkt48.com/images/home/ngt48.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/ngt48.png	(from https://jkt48.com/)
11:31:19	4902/4902	---M--	200	added ('OK')	image/png	etag:%22704f8-1326-5cb58793aa3c0%22	https://jkt48.com/images/home/stu48.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/stu48.png	(from https://jkt48.com/)
11:31:21	4295/4295	---M--	200	added ('OK')	image/png	etag:%22704ef-10c7-5cb58793aa3c0%22	https://jkt48.com/images/home/bnk48.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/bnk48.png	(from https://jkt48.com/)
11:31:25	9387/9387	---M--	200	added ('OK')	image/png	etag:%22704f3-24ab-5cb58793aa3c0%22	https://jkt48.com/images/home/mnl48.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/mnl48.png	(from https://jkt48.com/)
11:31:25	5651/5651	---M--	200	added ('OK')	image/png	etag:%22704ea-1613-5cb58793aa3c0%22	https://jkt48.com/images/home/AKBSH.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/AKBSH.png	(from https://jkt48.com/)
11:31:27	8629/8629	---M--	200	added ('OK')	image/png	etag:%22704eb-21b5-5cb58793aa3c0%22	https://jkt48.com/images/home/AKBTP.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/AKBTP.png	(from https://jkt48.com/)
11:31:29	7323/7323	---M--	200	added ('OK')	image/png	etag:%22704f0-1c9b-5cb58793aa3c0%22	https://jkt48.com/images/home/CGM48.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/CGM48.png	(from https://jkt48.com/)
11:31:31	22144/22144	---M--	200	added ('OK')	image/png	etag:%22582001-5680-60e0aa8ff119f%22	https://jkt48.com/images/home/klp48.png?v=2	C:/My%20Web%20Sites/jktweb/jkt48.com/images/home/klp485e1f.png	(from https://jkt48.com/)
11:31:31	14852/14852	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:31:31%20GMT	https://jkt48.com/about/jkt48?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/about/jkt489bb4.html	(from https://jkt48.com/)
11:31:31	15239/15239	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:31:32%20GMT	https://jkt48.com/about/akb48?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/about/akb489bb4.html	(from https://jkt48.com/)
11:31:32	15544/15544	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:31:32%20GMT	https://jkt48.com/about/producer?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/about/producer9bb4.html	(from https://jkt48.com/)
11:31:32	4687/4687	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:31:32%20GMT	https://jkt48.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/jktweb/jkt48.com/cdn-cgi/l/email-protection.html	(from https://jkt48.com/)
11:31:40	26705/26705	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:31:32%20GMT	https://jkt48.com/rules?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/rules9bb4.html	(from https://jkt48.com/)
